class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso11a.txt,Matrix-only,20,20,0.050128,0.008332,0.041796,0.049698,0.008124,0.0149,0.0131,0.0074,0.0184,0.040044,0.000194,0.004288,0.004123,0.005648,0.003938,0.009992,0.008071
Simple,caso11b.txt,Augmented,20,20,0.048630,0.008298,0.040332,0.048278,0.008073,0.0044,0.0221,0.0056,0.0213,0.039858,0.000194,0.004316,0.004082,0.004407,0.003940,0.008727,0.008053
Simple,caso11b.txt,Matrix-only,20,20,0.049921,0.008280,0.041641,0.049552,0.008120,0.0046,0.0153,0.0052,0.0198,0.039942,0.000194,0.004253,0.004084,0.005636,0.003906,0.009889,0.008016
Simple,caso11c.txt,Augmented,20,20,0.048644,0.008227,0.040417,0.048220,0.007952,0.0135,0.0141,0.0037,0.0219,0.039850,0.000192,0.004333,0.004044,0.004413,0.003926,0.008757,0.007972
Simple,caso11c.txt,Matrix-only,20,20,0.049966,0.008291,0.041676,0.049613,0.008136,0.0042,0.0134,0.0069,0.0124,0.040047,0.000194,0.004243,0.004111,0.005655,0.003929,0.009915,0.008043
Simple,caso11d.txt,Augmented,20,20,0.048704,0.008370,0.040334,0.048319,0.008139,0.0045,0.0193,0.0038,0.0180,0.039817,0.000192,0.004311,0.004161,0.004426,0.003952,0.008784,0.008107
Simple,caso11d.txt,Matrix-only,20,20,0.049870,0.008302,0.041568,0.049630,0.008126,0.0048,0.0215,0.0053,0.0275,0.039805,0.000193,0.004296,0.004125,0.005648,0.003923,0.009956,0.008049
Simple,caso11e.txt,Augmented,20,20,0.048763,0.008332,0.040430,0.048149,0.008155,0.0050,0.0150,0.0071,0.0199,0.039846,0.000193,0.004323,0.004122,0.004410,0.003941,0.008768,0.008085
Simple,caso11e.txt,Matrix-only,20,20,0.050061,0.008420,0.041641,0.049756,0.008140,0.4990,1.0501,0.0083,0.0307,0.039940,0.000194,0.004327,0.004191,0.005652,0.003934,0.010000,0.008172
Simple,caso11f.txt,Augmented,20,20,0.048761,0.008393,0.040368,0.048259,0.008176,0.0089,0.0108,0.0062,0.0152,0.039895,0.000193,0.004353,0.004167,0.004396,0.003953,0.008756,0.008125
Simple,caso11f.txt,Matrix-only,20,20,0.049894,0.008344,0.041550,0.049575,0.008169,0.0046,0.0110,0.0053,0.0124,0.039886,0.000194,0.004302,0.004154,0.005619,0.003926,0.009908,0.008090
Simple,caso12a.txt,Augmented,20,20,0.048903,0.008366,0.040537,0.048515,0.008249,0.0060,0.0118,0.0074,0.0158,0.039975,0.000192,0.004388,0.004166,0.004412,0.003946,0.008806,0.008112
Simple,caso12a.txt,Matrix-only,20,20,0.050043,0.008363,0.041679,0.049753,0.008123,0.0034,0.0137,0.0024,0.0197,0.039939,0.000192,0.004337,0.004168,0.005664,0.003925,0.010012,0.008105
Simple,caso12b.txt,Augmented,20,20,0.048797,0.008366,0.040432,0.048527,0.008202,0.0049,0.0138,0.0061,0.0136,0.039986,0.000193,0.004395,0.004152,0.004407,0.003943,0.008791,0.008101
Simple,caso12b.txt,Matrix-only,20,20,0.050185,0.008368,0.041818,0.049644,0.008222,0.0092,0.0151,0.0065,0.0141,0.040003,0.000192,0.004330,0.004188,0.005634,0.003921,0.009973,0.008114
Simple,caso12c.txt,Augmented,20,20,0.048914,0.008408,0.040506,0.048543,0.008157,0.0040,0.0365,0.0056,0.0435,0.039943,0.000192,0.004378,0.004210,0.004404,0.003948,0.008800,0.008145
