class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso26e.txt,Matrix-only,20,20,0.350207,0.047797,0.302409,0.233269,0.014769,0.2489,1.1054
Simple,caso26f.txt,Augmented,20,20,0.325664,0.054258,0.271406,0.185847,0.015183,0.3684,0.9036
Simple,caso26f.txt,Matrix-only,20,20,0.355576,0.059888,0.295689,0.127698,0.017888,0.2650,0.5488
Simple,caso27a.txt,Augmented,20,20,0.301416,0.055872,0.245543,0.202969,0.014291,0.1904,0.8064
Simple,caso27a.txt,Matrix-only,20,20,0.310612,0.050270,0.260342,0.203501,0.021378,0.2709,0.8602
Simple,caso27b.txt,Augmented,20,20,0.337487,0.042742,0.294745,0.203925,0.014927,0.2453,1.1009
Simple,caso27b.txt,Matrix-only,20,20,0.328397,0.063049,0.265348,0.190360,0.014782,0.3540,0.6166
Simple,caso27c.txt,Augmented,20,20,0.346648,0.075636,0.271011,0.229893,0.013871,0.2194,0.5682
Simple,caso27c.txt,Matrix-only,20,20,0.365400,0.039429,0.325971,0.213573,0.014995,0.2166,0.9807
Simple,caso27d.txt,Augmented,20,20,0.319077,0.059105,0.259971,0.202467,0.020278,0.3102,0.8304
Simple,caso27d.txt,Matrix-only,20,20,0.354343,0.027369,0.326974,0.286815,0.015043,0.2359,1.5990
Simple,caso27e.txt,Augmented,20,20,0.329647,0.063669,0.265978,0.206351,0.015390,0.2599,0.7373
Simple,caso27e.txt,Matrix-only,20,20,0.348137,0.048994,0.299143,0.232721,0.014706,0.2106,0.9377
Simple,caso27f.txt,Augmented,20,20,0.349444,0.104226,0.245218,0.221173,0.015177,0.2328,0.4639
Simple,caso27f.txt,Matrix-only,20,20,0.293703,0.074240,0.219463,0.160740,0.015290,0.3141,0.5686
Simple,caso28a.txt,Augmented,20,20,0.344831,0.079284,0.265547,0.186266,0.014284,0.3037,0.6364
Simple,caso28a.txt,Matrix-only,20,20,0.318534,0.039076,0.279459,0.228232,0.014758,0.2947,1.2065
Simple,caso28b.txt,Augmented,20,20,0.344305,0.069057,0.275248,0.216403,0.014946,0.1994,0.7318
Simple,caso28b.txt,Matrix-only,20,20,0.323424,0.097856,0.225568,0.207779,0.015359,0.2678,0.4812
Simple,caso28c.txt,Augmented,20,20,0.359202,0.063939,0.295263,0.199236,0.023214,0.2550,0.6831
Simple,caso28c.txt,Matrix-only,20,20,0.342814,0.039663,0.303151,0.249346,0.018108,0.2184,1.0968
Simple,caso28d.txt,Augmented,20,20,0.312248,0.058297,0.253951,0.217598,0.014882,0.2593,0.7071
Simple,caso28d.txt,Matrix-only,20,20,0.315160,0.060794,0.254366,0.193946,0.014531,0.2703,0.6608
Simple,caso28e.txt,Augmented,20,20,0.329576,0.055783,0.273793,0.225475,0.014944,0.2584,0.9068
Simple,caso28e.txt,Matrix-only,20,20,0.316026,0.029560,0.286466,0.199934,0.015093,0.3144,1.3441
